source language,target language,engine name
ay,ca,Google
ay,ceb,Google
ay,ckb,Google
ay,co,Google
ay,cs,Google
ay,cy,Google
ay,da,Google
ay,de,Google
ay,dv,Google
ay,ee,Google
ay,el,Google
ay,en,Google
ay,eo,Google
ay,es,Google
ay,et,Google
ay,eu,Google
ay,fa,Google
ay,fi,Google
ay,fr,Google
ay,fy,Google
ay,ga,Google
ay,gan,Google
ay,gd,Google
ay,gl,Google
ay,gn,Google
ay,gom,Google
ay,gu,Google
ay,ha,Google
ay,haw,Google
ay,he,Google
ay,hi,Google
ay,hr,Google
ay,ht,Google
ay,hu,Google
ay,hy,Google
ay,id,Google
ay,ig,Google
ay,ilo,Google
ay,is,Google
ay,it,Google
ay,ja,Google
ay,jv,Google
ay,ka,Google
ay,kk,Google
ay,km,Google
ay,kn,Google
ay,ko,Google
ay,ku,Google
ay,ky,Google
ay,la,Google
ay,lb,Google
ay,lg,Google
ay,ln,Google
ay,lo,Google
ay,lt,Google
ay,lv,Google
ay,mai,Google
ay,mg,Google
ay,mi,Google
ay,mk,Google
ay,ml,Google
ay,mn,Google
ay,mni,Google
ay,mr,Google
ay,ms,Google
ay,mt,Google
ay,my,Google
ay,ne,Google
ay,nl,Google
ay,no,Google
ay,nso,Google
ay,ny,Google
ay,om,Google
ay,or,Google
ay,pa,Google
ay,pl,Google
ay,ps,Google
ay,pt,Google
ay,qu,Google
ay,ro,Google
ay,ru,Google
ay,rw,Google
ay,sa,Google
ay,sd,Google
ay,sh,Google
ay,si,Google
ay,simple,Google
ay,sk,Google
ay,sl,Google
ay,sm,Google
ay,sn,Google
ay,so,Google
ay,sq,Google
ay,sr,Google
ay,st,Google
ay,su,Google
ay,sv,Google
ay,sw,Google
ay,ta,Google
ay,te,Google
ay,tg,Google
ay,th,Google
ay,ti,Google
ay,tk,Google
ay,tl,Google
ay,tr,Google
ay,ts,Google
ay,tt,Google
ay,tw,Google
ay,ug,Google
ay,uk,Google
ay,ur,Google
ay,uz,Google
ay,vi,Google
ay,wuu,Google
ay,xh,Google
ay,yi,Google
ay,yo,Google
ay,yue,Google
ay,zh,Google
ay,zu,Google
az,af,Google
az,am,Google
az,ar,Google
az,arz,Google
az,as,Google
az,ay,Google
az,be,Google
az,be-tarask,Google
az,bg,Google
az,bho,Google
az,bm,Google
az,bn,Google
az,bs,Google
az,ca,Google
az,ceb,Google
az,ckb,Google
az,co,Google
az,cs,Google
az,cy,Google
az,da,Google
az,de,Google
az,dv,Google
az,ee,Google
az,el,Google
az,en,Google
az,eo,Google
az,es,Google
az,et,Google
az,eu,Google
az,fa,Google
az,fi,Google
az,fr,Google
az,fy,Google
az,ga,Google
az,gan,Google
az,gd,Google
az,gl,Google
az,gn,Google
az,gom,Google
az,gu,Google
az,ha,Google
az,haw,Google
az,he,Google
az,hi,Google
az,hr,Google
az,ht,Google
az,hu,Google
az,hy,Google
az,id,Google
az,ig,Google
az,ilo,Google
az,is,Google
az,it,Google
az,ja,Google
az,jv,Google
az,ka,Google
